order_id,item_id,product_id,quantity,list_price,discount,Timestamp
1.0,1,20.0,1.0,599.99,0.2,2024-05-02 01:40:16.045001
1.0,2,8.0,2.0,1799.99,0.07,2024-05-02 01:40:16.045001
1.0,3,10.0,2.0,1549.0,0.05,2024-05-02 01:40:16.045001
1.0,4,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001
1.0,5,4.0,1.0,2899.99,0.2,2024-05-02 01:40:16.045001
2.0,1,20.0,1.0,599.99,0.07,2024-05-02 01:40:16.045001
2.0,2,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001
3.0,1,3.0,1.0,999.99,0.05,2024-05-02 01:40:16.045001
3.0,2,20.0,1.0,599.99,0.05,2024-05-02 01:40:16.045001
4.0,1,2.0,2.0,749.99,0.1,2024-05-02 01:40:16.045001
5.0,1,10.0,2.0,1549.0,0.05,2024-05-02 01:40:16.045001
2.0,2,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001
3.0,1,3.0,1.0,999.99,0.05,2024-05-02 01:40:16.045001
5.0,2,17.0,1.0,429.0,0.07,2024-05-02 01:40:16.045001
5.0,3,26.0,1.0,599.99,0.07,2024-05-02 01:40:16.045001
6.0,1,18.0,1.0,449.0,0.07,2024-05-02 01:40:16.045001
6.0,2,12.0,2.0,549.99,0.05,2024-05-02 01:40:16.045001
6.0,3,20.0,1.0,599.99,0.1,2024-05-02 01:40:16.045001
6.0,4,3.0,2.0,999.99,0.07,2024-05-02 01:40:16.045001
6.0,5,9.0,2.0,2999.99,0.07,2024-05-02 01:40:16.045001
7.0,1,15.0,1.0,529.99,0.07,2024-05-02 01:40:16.045001
7.0,2,3.0,1.0,999.99,0.1,2024-05-02 01:40:16.045001
7.0,3,17.0,2.0,429.0,0.1,2024-05-02 01:40:16.045001
6.0,5,9.0,2.0,2999.99,0.07,2024-05-02 01:40:16.045001
7.0,1,15.0,1.0,529.99,0.07,2024-05-02 01:40:16.045001
7.0,2,3.0,1.0,999.99,0.1,2024-05-02 01:40:16.045001
7.0,3,17.0,2.0,429.0,0.1,2024-05-02 01:40:16.045001
8.0,1,22.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001
8.0,2,20.0,2.0,599.99,0.07,2024-05-02 01:40:16.045001
9.0,1,7.0,2.0,3999.99,0.1,2024-05-02 01:40:16.045001
10.0,1,14.0,1.0,269.99,0.1,2024-05-02 01:40:16.045001
11.0,1,8.0,1.0,1799.99,0.05,2024-05-02 01:40:16.045001
11.0,2,22.0,2.0,269.99,0.1,2024-05-02 01:40:16.045001
11.0,3,16.0,2.0,599.99,0.2,2024-05-02 01:40:16.045001
12.0,1,4.0,2.0,2899.99,0.1,2024-05-02 01:40:16.045001
12.0,2,11.0,1.0,1680.99,0.05,2024-05-02 01:40:16.045001
13.0,1,13.0,1.0,269.99,0.1,2024-05-02 01:40:16.045001
13.0,2,17.0,2.0,429.0,0.05,2024-05-02 01:40:16.045001
13.0,3,20.0,2.0,599.99,0.1,2024-05-02 01:40:16.045001
13.0,4,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001
14.0,1,6.0,1.0,469.99,0.07,2024-05-02 01:40:16.045001
15.0,1,12.0,2.0,549.99,0.07,2024-05-02 01:40:16.045001
15.0,2,8.0,1.0,1799.99,0.07,2024-05-02 01:40:16.045001
15.0,3,18.0,2.0,449.0,0.05,2024-05-02 01:40:16.045001
15.0,4,23.0,2.0,299.99,0.2,2024-05-02 01:40:16.045001
16.0,1,8.0,1.0,1799.99,0.2,2024-05-02 01:40:16.045001
16.0,2,21.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001
16.0,3,13.0,2.0,269.99,0.07,2024-05-02 01:40:16.045001
16.0,4,14.0,1.0,269.99,0.07,2024-05-02 01:40:16.045001
17.0,1,8.0,1.0,1799.99,0.07,2024-05-02 01:40:16.045001
17.0,2,23.0,1.0,299.99,0.1,2024-05-02 01:40:16.045001
17.0,3,5.0,1.0,1320.99,0.1,2024-05-02 01:40:16.045001
17.0,4,20.0,2.0,599.99,0.2,2024-05-02 01:40:16.045001
18.0,1,2.0,2.0,749.99,0.2,2024-05-02 01:40:16.045001
18.0,2,22.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001
18.0,3,7.0,1.0,3999.99,0.1,2024-05-02 01:40:16.045001
18.0,4,25.0,2.0,499.99,0.05,2024-05-02 01:40:16.045001
18.0,5,9.0,2.0,2999.99,0.1,2024-05-02 01:40:16.045001
19.0,1,10.0,1.0,1549.0,0.07,2024-05-02 01:40:16.045001
19.0,2,9.0,2.0,2999.99,0.2,2024-05-02 01:40:16.045001
20.0,1,9.0,1.0,2999.99,0.07,2024-05-02 01:40:16.045001
20.0,2,10.0,2.0,1549.0,0.07,2024-05-02 01:40:16.045001
21.0,1,14.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001
21.0,2,17.0,1.0,429.0,0.1,2024-05-02 01:40:16.045001
21.0,3,10.0,1.0,1549.0,0.07,2024-05-02 01:40:16.045001
22.0,1,15.0,2.0,529.99,0.2,2024-05-02 01:40:16.045001
22.0,2,22.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001
23.0,1,4.0,2.0,2899.99,0.05,2024-05-02 01:40:16.045001
23.0,2,23.0,2.0,299.99,0.1,2024-05-02 01:40:16.045001
23.0,3,13.0,1.0,269.99,0.2,2024-05-02 01:40:16.045001
24.0,1,3.0,2.0,999.99,0.1,2024-05-02 01:40:16.045001
24.0,2,18.0,2.0,449.0,0.07,2024-05-02 01:40:16.045001
25.0,1,23.0,2.0,299.99,0.2,2024-05-02 01:40:16.045001
25.0,2,10.0,2.0,1549.0,0.2,2024-05-02 01:40:16.045001
25.0,3,22.0,1.0,269.99,0.2,2024-05-02 01:40:16.045001
25.0,4,14.0,1.0,269.99,0.2,2024-05-02 01:40:16.045001
25.0,5,21.0,1.0,269.99,0.1,2024-05-02 01:40:16.045001
26.0,1,7.0,1.0,3999.99,0.05,2024-05-02 01:40:16.045001
26.0,2,2.0,1.0,749.99,0.2,2024-05-02 01:40:16.045001
26.0,3,12.0,1.0,549.99,0.2,2024-05-02 01:40:16.045001
26.0,4,21.0,2.0,269.99,0.07,2024-05-02 01:40:16.045001
27.0,1,5.0,1.0,1320.99,0.2,2024-05-02 01:40:16.045001
27.0,2,19.0,1.0,449.0,0.2,2024-05-02 01:40:16.045001
27.0,3,26.0,2.0,599.99,0.07,2024-05-02 01:40:16.045001
27.0,4,8.0,1.0,1799.99,0.07,2024-05-02 01:40:16.045001
28.0,1,5.0,1.0,1320.99,0.05,2024-05-02 01:40:16.045001
28.0,2,7.0,2.0,3999.99,0.2,2024-05-02 01:40:16.045001
28.0,3,14.0,2.0,269.99,0.1,2024-05-02 01:40:16.045001
28.0,4,6.0,1.0,469.99,0.05,2024-05-02 01:40:16.045001
29.0,1,24.0,2.0,549.99,0.05,2024-05-02 01:40:16.045001
29.0,2,6.0,1.0,469.99,0.2,2024-05-02 01:40:16.045001
29.0,3,21.0,2.0,269.99,0.1,2024-05-02 01:40:16.045001
29.0,4,8.0,1.0,1799.99,0.2,2024-05-02 01:40:16.045001
29.0,5,14.0,2.0,269.99,0.05,2024-05-02 01:40:16.045001
30.0,1,26.0,1.0,599.99,0.05,2024-05-02 01:40:16.045001
30.0,2,17.0,1.0,429.0,0.07,2024-05-02 01:40:16.045001
30.0,3,19.0,1.0,449.0,0.1,2024-05-02 01:40:16.045001
30.0,4,4.0,1.0,2899.99,0.1,2024-05-02 01:40:16.045001
30.0,5,7.0,2.0,3999.99,0.1,2024-05-02 01:40:16.045001
31.0,1,11.0,2.0,1680.99,0.05,2024-05-02 01:40:16.045001
31.0,2,9.0,2.0,2999.99,0.2,2024-05-02 01:40:16.045001
32.0,1,8.0,2.0,1799.99,0.07,2024-05-02 01:40:16.045001
32.0,2,12.0,2.0,549.99,0.07,2024-05-02 01:40:16.045001
32.0,3,25.0,2.0,499.99,0.1,2024-05-02 01:40:16.045001
33.0,1,23.0,2.0,299.99,0.07,2024-05-02 01:40:16.045001
33.0,2,7.0,1.0,3999.99,0.1,2024-05-02 01:40:16.045001
34.0,1,8.0,2.0,1799.99,0.07,2024-05-02 01:40:16.045001
34.0,2,10.0,2.0,1549.0,0.1,2024-05-02 01:40:16.045001
34.0,3,17.0,2.0,429.0,0.2,2024-05-02 01:40:16.045001
35.0,1,18.0,1.0,449.0,0.05,2024-05-02 01:40:16.045001
35.0,2,20.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001
35.0,3,5.0,1.0,1320.99,0.2,2024-05-02 01:40:16.045001
35.0,4,21.0,2.0,269.99,0.07,2024-05-02 01:40:16.045001
35.0,5,22.0,1.0,269.99,0.07,2024-05-02 01:40:16.045001
36.0,1,9.0,1.0,2999.99,0.07,2024-05-02 01:40:16.045001
36.0,2,5.0,1.0,1320.99,0.05,2024-05-02 01:40:16.045001
36.0,3,3.0,2.0,999.99,0.2,2024-05-02 01:40:16.045001
37.0,1,16.0,2.0,599.99,0.05,2024-05-02 01:40:16.045001
38.0,1,7.0,2.0,3999.99,0.05,2024-05-02 01:40:16.045001
38.0,2,23.0,1.0,299.99,0.07,2024-05-02 01:40:16.045001
38.0,3,25.0,1.0,499.99,0.2,2024-05-02 01:40:16.045001
38.0,4,10.0,2.0,1549.0,0.1,2024-05-02 01:40:16.045001
38.0,5,24.0,1.0,549.99,0.07,2024-05-02 01:40:16.045001
39.0,1,22.0,2.0,269.99,0.2,2024-05-02 01:40:16.045001
39.0,2,16.0,2.0,599.99,0.2,2024-05-02 01:40:16.045001
39.0,3,3.0,2.0,999.99,0.05,2024-05-02 01:40:16.045001
39.0,4,15.0,1.0,529.99,0.1,2024-05-02 01:40:16.045001
40.0,1,17.0,1.0,429.0,0.2,2024-05-02 01:40:16.045001
40.0,2,8.0,2.0,1799.99,0.2,2024-05-02 01:40:16.045001
41.0,1,5.0,1.0,1320.99,0.1,2024-05-02 01:40:16.045001
41.0,2,19.0,2.0,449.0,0.2,2024-05-02 01:40:16.045001
41.0,3,26.0,2.0,599.99,0.2,2024-05-02 01:40:16.045001
42.0,1,19.0,1.0,449.0,0.05,2024-05-02 01:40:16.045001
43.0,1,13.0,2.0,269.99,0.1,2024-05-02 01:40:16.045001
43.0,2,12.0,2.0,549.99,0.05,2024-05-02 01:40:16.045001
44.0,1,7.0,1.0,3999.99,0.1,2024-05-02 01:40:16.045001
44.0,2,16.0,1.0,599.99,0.05,2024-05-02 01:40:16.045001
45.0,1,4.0,2.0,2899.99,0.2,2024-05-02 01:40:16.045001
45.0,2,22.0,1.0,269.99,0.07,2024-05-02 01:40:16.045001
45.0,3,21.0,2.0,269.99,0.05,2024-05-02 01:40:16.045001
46.0,1,17.0,1.0,429.0,0.1,2024-05-02 01:40:16.045001
47.0,1,6.0,1.0,469.99,0.05,2024-05-02 01:40:16.045001
47.0,2,15.0,1.0,529.99,0.1,2024-05-02 01:40:16.045001
47.0,3,25.0,2.0,499.99,0.07,2024-05-02 01:40:16.045001
47.0,4,13.0,1.0,269.99,0.2,2024-05-02 01:40:16.045001
48.0,1,11.0,1.0,1680.99,0.1,2024-05-02 01:40:16.045001
48.0,2,4.0,1.0,2899.99,0.2,2024-05-02 01:40:16.045001
48.0,3,5.0,2.0,1320.99,0.1,2024-05-02 01:40:16.045001
48.0,4,14.0,2.0,269.99,0.07,2024-05-02 01:40:16.045001
49.0,1,13.0,2.0,269.99,0.07,2024-05-02 01:40:16.045001
50.0,1,3.0,1.0,999.99,0.05,2024-05-02 01:40:16.045001
50.0,2,26.0,2.0,599.99,0.07,2024-05-02 01:40:16.045001
50.0,3,13.0,2.0,269.99,0.2,2024-05-02 01:40:16.045001
51.0,1,13.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001
51.0,2,20.0,1.0,599.99,0.05,2024-05-02 01:40:16.045001
51.0,3,26.0,2.0,599.99,0.2,2024-05-02 01:40:16.045001
52.0,1,25.0,1.0,499.99,0.07,2024-05-02 01:40:16.045001
53.0,1,8.0,2.0,1799.99,0.2,2024-05-02 01:40:16.045001
53.0,2,23.0,2.0,299.99,0.05,2024-05-02 01:40:16.045001
53.0,3,14.0,2.0,269.99,0.2,2024-05-02 01:40:16.045001
53.0,4,25.0,2.0,499.99,0.1,2024-05-02 01:40:16.045001
54.0,1,26.0,2.0,599.99,0.2,2024-05-02 01:40:16.045001
54.0,2,3.0,1.0,999.99,0.2,2024-05-02 01:40:16.045001
55.0,1,21.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001
55.0,2,25.0,2.0,499.99,0.2,2024-05-02 01:40:16.045001
55.0,3,15.0,2.0,529.99,0.2,2024-05-02 01:40:16.045001
56.0,1,20.0,2.0,599.99,0.07,2024-05-02 01:40:16.045001
57.0,1,23.0,2.0,299.99,0.1,2024-05-02 01:40:16.045001
57.0,2,19.0,2.0,449.0,0.2,2024-05-02 01:40:16.045001
57.0,3,13.0,1.0,269.99,0.07,2024-05-02 01:40:16.045001
58.0,1,14.0,2.0,269.99,0.05,2024-05-02 01:40:16.045001
58.0,2,18.0,1.0,449.0,0.07,2024-05-02 01:40:16.045001
58.0,3,23.0,1.0,299.99,0.1,2024-05-02 01:40:16.045001
59.0,1,21.0,1.0,269.99,0.05,2024-05-02 01:40:16.045001
59.0,2,2.0,1.0,749.99,0.1,2024-05-02 01:40:16.045001
59.0,3,17.0,2.0,429.0,0.1,2024-05-02 01:40:16.045001
60.0,1,14.0,2.0,269.99,0.05,2024-05-02 01:40:16.045001
60.0,2,4.0,1.0,2899.99,0.1,2024-05-02 01:40:16.045001
60.0,3,15.0,1.0,529.99,0.07,2024-05-02 01:40:16.045001
60.0,4,22.0,1.0,269.99,0.2,2024-05-02 01:40:16.045001
61.0,1,25.0,1.0,499.99,0.1,2024-05-02 01:40:16.045001
61.0,2,15.0,2.0,529.99,0.05,2024-05-02 01:40:16.045001
61.0,3,5.0,2.0,1320.99,0.2,2024-05-02 01:40:16.045001
62.0,1,14.0,1.0,269.99,0.07,2024-05-02 01:40:16.045001
62.0,2,8.0,2.0,1799.99,0.1,2024-05-02 01:40:16.045001
62.0,3,22.0,2.0,269.99,0.1,2024-05-02 01:40:16.045001
63.0,1,25.0,2.0,499.99,0.1,2024-05-02 01:40:16.045001
63.0,2,19.0,2.0,449.0,0.05,2024-05-02 01:40:16.045001
63.0,3,3.0,1.0,999.99,0.1,2024-05-02 01:40:16.045001
64.0,1,25.0,2.0,499.99,0.1,2024-05-02 01:40:16.045001
64.0,2,22.0,2.0,269.99,0.2,2024-05-02 01:40:16.045001
64.0,3,23.0,2.0,299.99,0.2,2024-05-02 01:40:16.045001
64.0,4,24.0,2.0,549.99,0.1,2024-05-02 01:40:16.045001
65.0,1,12.0,1.0,549.99,0.1,2024-05-02 01:40:16.045001
66.0,1,2.0,1.0,749.99,0.2,2024-05-02 01:40:16.045001
66.0,2,23.0,1.0,299.99,0.07,2024-05-02 01:40:16.045001
66.0,3,12.0,1.0,549.99,0.07,2024-05-02 01:40:16.045001
67.0,1,23.0,2.0,299.99,0.2,2024-05-02 01:40:16.045001
